"NDB_No","Nutrient_Code","Nutrient_name","Derivation_Code","Output_value","Output_uom"
"45128646","304","Magnesium, Mg","LCGA","72.0","mg"
"45128646","305","Phosphorus, P","LCGA","286.0","mg"
"45128646","306","Potassium, K","LCGA","556.0","mg"
"45128646","307","Sodium, Na","LCGA","122.0","mg"
"45128646","309","Zinc, Zn","LCGA","0.6","mg"
"45128646","318","Vitamin A, IU","LCGA","13.0","IU"
"45128646","324","Vitamin D","LCGA","0.0","IU"
"45128646","340","Vitamin E (label entry primarily)","LCGA","2.0","IU"
"45128646","401","Vitamin C, total ascorbic acid","LCGA","0.0","mg"
"45128646","404","Thiamin","LCGA","0.0","mg"
"45128646","405","Riboflavin","LCGA","0.02","mg"
"45128646","406","Niacin","LCGA","2.8","mg"
"45128646","415","Vitamin B-6","LCGA","0.0","mg"
"45128646","417","Folate, total","LCGA","31.0","mcg"
"45128646","418","Vitamin B-12","LCGA","0.0","mcg"
"45128646","601","Cholesterol","LCGA","0.0","mg"
"45128646","605","Fatty acids, total trans","LCGA","0.0","g"
"45128646","606","Fatty acids, total saturated","LCGA","2.1","g"
"45128646","645","Fatty acids, total monounsaturated","LCGA","6.4","g"
"45128646","646","Fatty acids, total polyunsaturated","LCGA","4.5","g"
"45127269","203","Protein","LCGA","4.9","g"
"45127269","204","Total lipid (fat)","LCGA","9.3","g"
"45127269","205","Carbohydrate, by difference","LCGA","71.0","g"
"45127269","207","Ash","LCGA","2.0","g"
"45127269","255","Water","LCGA","12.8","g"
"45127269","269","Sugars, total","LCGA","36.5","g"
"45127269","291","Fiber, total dietary","LCGA","2.1","g"
"45127269","295","Fiber, soluble","LCGA","1.0","g"
"45127269","297","Fiber, insoluble","LCGA","0.0","g"
"45127269","301","Calcium, Ca","LCGA","192.0","mg"
"45127269","303","Iron, Fe","LCGA","3.5","mg"
"45127269","304","Magnesium, Mg","LCGA","24.0","mg"
"45127269","305","Phosphorus, P","LCGA","99.0","mg"
"45127269","306","Potassium, K","LCGA","184.0","mg"
"45127269","307","Sodium, Na","LCGA","439.0","mg"
"45127269","309","Zinc, Zn","LCGA","0.5","mg"
"45127269","318","Vitamin A, IU","LCGA","962.0","IU"
"45127269","324","Vitamin D","LCGA","0.0","IU"
"45127269","340","Vitamin E (label entry primarily)","LCGA","0.0","IU"
"45127269","401","Vitamin C, total ascorbic acid","LCGA","0.0","mg"
"45127269","404","Thiamin","LCGA","0.0","mg"
"45127269","405","Riboflavin","LCGA","0.33","mg"
"45127269","406","Niacin","LCGA","3.8","mg"
"45127269","415","Vitamin B-6","LCGA","0.38","mg"
"45127269","417","Folate, total","LCGA","55.0","mcg"
"45127269","418","Vitamin B-12","LCGA","0.0","mcg"
"45127269","601","Cholesterol","LCGA","0.0","mg"
"45127269","605","Fatty acids, total trans","LCGA","0.2","g"
"45127269","606","Fatty acids, total saturated","LCGA","3.2","g"
"45127269","645","Fatty acids, total monounsaturated","LCGA","2.0","g"
"45127269","646","Fatty acids, total polyunsaturated","LCGA","3.2","g"
"45128606","203","Protein","LCGA","12.8","g"
"45128606","204","Total lipid (fat)","LCGA","9.0","g"
"45128606","205","Carbohydrate, by difference","LCGA","26.2","g"
"45128606","207","Ash","LCGA","2.1","g"
"45128606","255","Water","LCGA","49.9","g"
"45128606","269","Sugars, total","LCGA","2.5","g"
"45128606","291","Fiber, total dietary","LCGA","4.3","g"
"45128606","295","Fiber, soluble","LCGA","1.0","g"
"45128606","297","Fiber, insoluble","LCGA","3.0","g"
"45128606","301","Calcium, Ca","LCGA","52.0","mg"
"45128606","303","Iron, Fe","LCGA","3.0","mg"
"45128606","304","Magnesium, Mg","LCGA","35.0","mg"
"45128606","305","Phosphorus, P","LCGA","133.0","mg"
"45128606","306","Potassium, K","LCGA","346.0","mg"
"45128606","307","Sodium, Na","LCGA","456.0","mg"
"45128606","309","Zinc, Zn","LCGA","0.6","mg"
"45128606","318","Vitamin A, IU","LCGA","35.0","IU"
"45128606","324","Vitamin D","LCGA","0.0","IU"
"45128606","340","Vitamin E (label entry primarily)","LCGA","1.0","IU"
"45128606","401","Vitamin C, total ascorbic acid","LCGA","0.0","mg"
"45128606","404","Thiamin","LCGA","0.0","mg"
"45128606","405","Riboflavin","LCGA","0.1","mg"
"45128606","406","Niacin","LCGA","3.6","mg"
"45128606","415","Vitamin B-6","LCGA","0.2","mg"
"45128606","417","Folate, total","LCGA","1.0","mcg"
"45128606","418","Vitamin B-12","LCGA","1.7","mcg"
"45128606","601","Cholesterol","LCGA","0.0","mg"
"45128606","605","Fatty acids, total trans","LCGA","0.1","g"
"45128606","606","Fatty acids, total saturated","LCGA","1.3","g"
"45128606","645","Fatty acids, total monounsaturated","LCGA","2.4","g"
"45128606","646","Fatty acids, total polyunsaturated","LCGA","4.8","g"
"45129783","203","Protein","LCGA","3.3","g"
"45129783","204","Total lipid (fat)","LCGA","0.3","g"
"45129783","205","Carbohydrate, by difference","LCGA","75.5","g"
"45129783","207","Ash","LCGA","1.9","g"
"45129783","255","Water","LCGA","19.0","g"
"45129783","269","Sugars, total","LCGA","51.9","g"
"45129783","291","Fiber, total dietary","LCGA","0.3","g"
"45129783","295","Fiber, soluble","LCGA","0.0","g"
"45129783","297","Fiber, insoluble","LCGA","0.0","g"
"45129783","301","Calcium, Ca","LCGA","9.0","mg"
"45129783","303","Iron, Fe","LCGA","0.2","mg"
"45129783","304","Magnesium, Mg","LCGA","1.0","mg"
"45129783","305","Phosphorus, P","LCGA","7.0","mg"
"45129783","306","Potassium, K","LCGA","1.0","mg"
"45129783","307","Sodium, Na","LCGA","21.0","mg"
"45129783","309","Zinc, Zn","LCGA","0.2","mg"
"45129783","318","Vitamin A, IU","LCGA","15.0","IU"
"45129783","324","Vitamin D","LCGA","0.0","IU"
"45129783","340","Vitamin E (label entry primarily)","LCGA","0.0","IU"
"45129783","401","Vitamin C, total ascorbic acid","LCGA","273.0","mg"
"45129783","404","Thiamin","LCGA","0.0","mg"
"45129783","405","Riboflavin","LCGA","0.01","mg"
"45129783","406","Niacin","LCGA","0.0","mg"
"45129783","415","Vitamin B-6","LCGA","0.01","mg"
"45129783","417","Folate, total","LCGA","0.0","mcg"
"45129783","418","Vitamin B-12","LCGA","0.1","mcg"
"45129783","601","Cholesterol","LCGA","0.0","mg"
"45129783","605","Fatty acids, total trans","LCGA","0.0","g"
"45129783","606","Fatty acids, total saturated","LCGA","0.2","g"
"45129783","645","Fatty acids, total monounsaturated","LCGA","0.0","g"
"45129783","646","Fatty acids, total polyunsaturated","LCGA","0.0","g"
"45129657","203","Protein","LCGA","3.3","g"
"45129657","204","Total lipid (fat)","LCGA","0.3","g"
"45129657","205","Carbohydrate, by difference","LCGA","75.5","g"
"45129657","207","Ash","LCGA","1.9","g"
"45129657","255","Water","LCGA","19.0","g"
"45129657","269","Sugars, total","LCGA","51.9","g"
"45129657","291","Fiber, total dietary","LCGA","0.3","g"
"45129657","295","Fiber, soluble","LCGA","0.0","g"
"45129657","297","Fiber, insoluble","LCGA","0.0","g"
"45129657","301","Calcium, Ca","LCGA","9.0","mg"
"45129657","303","Iron, Fe","LCGA","0.2","mg"
"45129657","304","Magnesium, Mg","LCGA","1.0","mg"
"45129657","305","Phosphorus, P","LCGA","7.0","mg"
"45129657","306","Potassium, K","LCGA","1.0","mg"
"45129657","307","Sodium, Na","LCGA","21.0","mg"
"45129657","309","Zinc, Zn","LCGA","0.2","mg"
"45129657","318","Vitamin A, IU","LCGA","15.0","IU"
"45129657","324","Vitamin D","LCGA","0.0","IU"
"45129657","340","Vitamin E (label entry primarily)","LCGA","0.0","IU"
